id,gora,višina,priljubljenost,gorovje
1,Triglav,2864,100,Julijske Alpe
629,Montaž / Jôf di Montasio,2753,98,Julijske Alpe
2,Škrlatica,2740,99,Julijske Alpe
3,Mali Triglav,2725,92,Julijske Alpe
4,Mangart,2679,100,Julijske Alpe
1041,Viš/Jof Fuart,2666,96,Julijske Alpe
1344,Vrh Brda / Cima Verde,2661,84,Julijske Alpe
5,Visoki Rokav,2646,91,Julijske Alpe
6,Jalovec,2645,99,Julijske Alpe
7,Veliki Oltar,2621,94,Julijske Alpe
8,Velika Martuljška Ponca,2602,90,Julijske Alpe
9,Razor,2601,98,Julijske Alpe
10,Dolkova špica,2591,94,Julijske Alpe
12,Visoki Kanin,2587,96,Julijske Alpe
13,Mali Kanin,2571,84,Julijske Alpe
1544,Kanjavec (Zahodni vrh),2569,76,Julijske Alpe
14,Kanjavec,2569,97,Julijske Alpe
17,Glava v Zaplanji,2556,84,Julijske Alpe
19,Rogljica,2547,78,Julijske Alpe
18,Prisank / Prisojnik,2547,99,Julijske Alpe
3178,Rakova Špica,2545,23,Julijske Alpe
22,Dovški križ,2542,92,Julijske Alpe
2990,Kredarica,2541,29,Julijske Alpe
26,Rž,2538,89,Julijske Alpe
27,Rjavina,2532,96,Julijske Alpe
1342,Špik nad Nosom / Foronon del Buinz,2531,88,Julijske Alpe
105,Morbegna,2520,90,Julijske Alpe
23,Triglavski dom na Kredarici,2515,98,Julijske Alpe
1282,Koštrunove špice,2502,85,Julijske Alpe
1382,Mala Martuljška Ponca,2501,81,Julijske Alpe
33,Stenar,2501,98,Julijske Alpe
2248,Spodnji Rokav,2500,70,Julijske Alpe
35,Prestreljenik,2499,92,Julijske Alpe
1381,Široka peč,2497,84,Julijske Alpe
1546,Poprovec,2496,73,Julijske Alpe
1545,Teme (Hribarice),2495,73,Julijske Alpe
40,Veliki Ozebnik,2480,83,Julijske Alpe
43,Špik,2472,99,Julijske Alpe
46,Mišeljski Konec,2464,82,Julijske Alpe
48,Begunjski vrh,2461,92,Julijske Alpe
423,Planja,2453,89,Julijske Alpe
1540,Vršaki (Vzhodni vrh),2448,68,Julijske Alpe
1373,Vrh Krnice,2441,71,Julijske Alpe
1543,Vršaki (Južni vrh),2431,57,Julijske Alpe
1339,Bivak Suringar,2430,69,Julijske Alpe
402,Kukova špica,2427,94,Julijske Alpe
1541,Vršaki (Srednji vrh),2424,66,Julijske Alpe
1542,Vršaki (Vrh za Koritami),2422,53,Julijske Alpe
1053,Špik Hude police / Cima di Terrarossa,2420,96,Julijske Alpe
1052,Pihavec,2419,90,Julijske Alpe
1629,Špik nad Planjo / Punta Plagnis,2411,65,Julijske Alpe
257,Križ,2410,95,Julijske Alpe
321,Visoka Vrbanova špica,2408,94,Julijske Alpe
2800,Lopa,2406,28,Julijske Alpe
1121,Gubno,2403,74,Julijske Alpe
94,Dom Planika pod Triglavom,2401,96,Julijske Alpe
452,Veliko Špičje,2398,93,Julijske Alpe
155,Cmir,2393,92,Julijske Alpe
647,Bovški Gamsovec,2392,98,Julijske Alpe
2848,Prestreljeniško okno,2391,29,Julijske Alpe
383,Debeli vrh,2390,91,Julijske Alpe
1539,Vrh Hribaric,2388,72,Julijske Alpe
1348,Šplevta (Indijanec),2382,76,Julijske Alpe
1562,Strma peč / Monte Cimone,2380,81,Julijske Alpe
1327,Travnik,2379,85,Julijske Alpe
3334,Kucelj (Julijske Alpe),2372,3,Julijske Alpe
3139,Vrh Osojnic,2371,21,Julijske Alpe
1349,Kriški rob,2366,76,Julijske Alpe
386,Velika Mojstrovka,2366,95,Julijske Alpe
1612,Šmarjetna glava,2358,76,Julijske Alpe
1623,Spodnji Stenar,2356,67,Julijske Alpe
1326,Zadnja Mojstrovka,2354,82,Julijske Alpe
1634,Vrh Krnega dola / Monte Cregnedul,2351,60,Julijske Alpe
1328,Kol,2350,68,Julijske Alpe
106,Mišelj vrh,2350,90,Julijske Alpe
1058,Plaski Vogel,2348,77,Julijske Alpe
679,Bavški Grintavec,2347,97,Julijske Alpe
1370,Briceljk,2346,82,Julijske Alpe
1621,Vevnica,2342,87,Julijske Alpe
1383,Vrh Snežne konte,2342,73,Julijske Alpe
668,Velika Črnelska špica,2332,77,Julijske Alpe
224,Mala Mojstrovka,2332,99,Julijske Alpe
203,Dom Valentina Staniča pod Triglavom,2332,95,Julijske Alpe
384,Zadnji Vogel,2327,85,Julijske Alpe
1379,Mali Ozebnik,2324,63,Julijske Alpe
1038,Žrd / Sart,2324,77,Julijske Alpe
385,Velika Zelnarica,2320,89,Julijske Alpe
